"Sr No","Blood Bank Name",State,District,City,Address,Pincode,"Contact No",Mobile,Helpline,Fax,Email,Website
1230,"District Hospital Blood Bank","Madhya Pradesh",KHARGONE,Khargone,"District Hospital, Sanawad Road ",451001,"07282 250702",9425496084,,,,http://www.bloodbankkhargone.com
1231,"District Hospital Blood Bank Mandla","Madhya Pradesh",MANDLA,Mandla,"District Hospital",481661,"07642 253077",9425163929," ","07642 251501",bloodbank_mandla@rediffmail.com,
1232,"District Hospital Blood Bank","Madhya Pradesh",MANDSAUR,Mandsaur,"District Hospital",458001,"07422 241241",9407101767,,,bbdhmds@gmail.com,
1233,"Jain Pathology Laboratory and Blood Bank","Madhya Pradesh",MANDSAUR,Mandsaur,"Gandhi Chouraha
",458001,"07422 242518",9827070408,,,,
1234,"District Hospital Blood Bank","Madhya Pradesh",MORENA,Morena,"District Hospital",476001,"07532 226318",9826246293,,,bloodbankmorena@gmail.com,
1235,"Jindal Blood Bank","Madhya Pradesh",MORENA,Morena,"Balkrishna Bhawan, Hospital Road
",476001,"0753 2250789",9425126999,,,,
1236,"District Hospital Narsinghpur Blood Bank ","Madhya Pradesh",NARSINGHPUR,Narsinghpur,"Shankar Lal Dubey District Hospital",487001,"07792 230480",9407304896,,,,
1237,"Indian Red Cross Society (IRCS) Blood Bank","Madhya Pradesh",NEEMUCH,Neemuch,"Indian Red Cross Society, District Hospital Campus
",458441,"07423 223878, 07423 225982",9406612591,,,redcrossbbnmh@gmail.com,
1238,"District Hospital Blood Bank","Madhya Pradesh",PANNA,Panna,"District Hospital",488001,"07732 253658",9424350011,,,,
1239,"District Hospital Blood Bank","Madhya Pradesh",RAISEN,Raisen,"District Hospital",464551,"07482 222062",9425652351,,,,
1240,"District Hospital Blood Bank","Madhya Pradesh",RAJGARH,Rajgarh,"District Hospital campus",465661,"07372 201021, 07372 201023",9179375278,,,csurgeonrajmp@mp.nic.in,
1241,"District Hospital Blood Bank","Madhya Pradesh",RATLAM,Ratlam,"District Hospital",457001,"07412 270445",7879154365,,,bloodbankrtm@gmail.com,
1242,"Manav Seva Samiti Blood Bank","Madhya Pradesh",RATLAM,Ratlam,"Nagrik Vishram Griha College Road

",457001,"0741 2239000 ",9039494095,,,,http://www.manavsevasamiti.com
1243,"S. S. Medical College Blood Bank","Madhya Pradesh",REWA,Rewa,"S. S. Medical College",486001,"0766 2257441",9827583242,,"07662 251167 ",,http://www.ssmcrewa.com/
1244,"District Hospital Blood Bank","Madhya Pradesh",SAGAR,Sagar,"District Hospital, (Tilli Hospital)",470001,"07582 236548",9827245793,,,bloodbankndhsagar@gmail.com,
1245,"Bhagyoday Tirth Hospital Blood Bank","Madhya Pradesh",SAGAR,Sagar,"Khurai Road
",470002,"0758 2266671",0,,,,
1246,"Sadguru Blood Bank Chitrakoot","Madhya Pradesh",SATNA,Chitrakoot,"Sadguru Jankikund Chikitsalaya, Chitrakoot",485001,"0767  0265320-6445",9935207959,,,slabs@sadgurutrust.org,http://www.sadgurutrust.org/
1247,"District Hospital Blood Bank","Madhya Pradesh",SATNA,Satna,"District Hospital, Blood Bank",485001,"07672 223226",9893738846,,,,
1248,"MP Birla Hospital and Priyamvada Birla Cancer Research Institute Blood Bank","Madhya Pradesh",SATNA,Satna,"J. R. Birla Road, Post Birla Vikas
",485005,"07672 257411, 07672 257412, 07672 404085",8224003814,,"07672 400200",,http://www.mpbirlahospitals.com/
1249,"District Hospital Blood Bank","Madhya Pradesh",SEHORE,Sehore,"District Hospital",466001,"07562 226737",9425650196,,,,
1250,"District Hospital Blood Bank Seoni","Madhya Pradesh",SEONI,Seoni,"Smt Indira Gandhi District Hospital Blood Bank ",480661,"07692 220358",9827267407,,,bbseoni@gmail.com,
1251,"Burhar Central Hospital of South Eastern Coal Fields Limited Blood Bank","Madhya Pradesh",SHAHDOL,Dhanpuri,"Sohagpur Area, Dhanpuri Post",484114,"07652 250223",9425890427,,,,
1252,"District Hospital Blood Bank","Madhya Pradesh",SHAHDOL,Shahdol,"Shri Kushabhau Thakre, District Hospital",484001,"07652 245256",9424646797,,,bloodbankshahdol@gmail.com,
1253,"Murlidhar Kripa Hospital Blood Bank","Madhya Pradesh",SHAJAPUR,Maxi,"Murlidhar Kripa Hospital of JK Mansingh Ka Trust, Maxi District, Shajapur
",465106,"07363 233426, 07363 233428",0,,,,
1254,"District Hospital Blood Bank","Madhya Pradesh",SHAJAPUR,Shajapur,"District Hospital",465001,"07364 222127 ",9425034695,,,,
1255,"District hospital sheopur","Madhya Pradesh",SHEOPUR,SHEOPUR," District Hospital Sheopur",476337,7746977417,88,8823857039,7530220153,samvidakarmchari.she@gmail.com,
1256,"District Hospital Blood Bank","Madhya Pradesh",SHIVPURI,Shivpuri,"District Hospital",473551,"07492 222362",9406570709,,,csurgeonshimp@nic.in,
1257,"District Hospital Blood Bank","Madhya Pradesh",SIDHI,Sidhi,"District Hospital, Blood Bank",486661,"07822 252207, 07822 252153 ",9584919194,,,civilsurgeonsidhi@gmail.com,
1258,"Nehru Jan shatabdi Chikitsalaya Blood Bank ","Madhya Pradesh",SINGRAULI,Jayant,"Nehru Jan shatabdi Chikitsalaya Blood Bank of Northern Coal Field Jyant Sinroli",486661,"07805 254982",9406711454,,,,
1259,"Red Cross Blood Bank","Madhya Pradesh",SINGRAULI,Singrauli,"NTPC Hospital, Vindhya Nagar
",486885,"07805 245144",0,,,,
1260,"District Hospital Blood Bank","Madhya Pradesh",TIKAMGARH,Tikamgarh,"Rajendra Hospital (District Hospital), Blood Bank",472001,"07683 247396 ",9926750416,,,,
1261,"Grassim Hospital and Blood Bank","Madhya Pradesh",UJJAIN,Nagda,"Birlagram Nagda
",456001,"07366 247200",0,,,,
1262,"District Hospital Blood Bank","Madhya Pradesh",UJJAIN,Ujjain,"District Hospital",456006,"0734 2551077",9424892191,,,bloodbankujjain2015@gmail.com,
1263,"Puspha Mission Hospital and Maternity Home Blood Bank","Madhya Pradesh",UJJAIN,Ujjain,"Dewas Road",456001,"0734 2526732",9425380020,,,,
1264,"Ujjain Charitable Trust Blood Bank","Madhya Pradesh",UJJAIN,Ujjain,"Ujjain
",456001,"0734 4013621 ",0,,,,
1265,"CR Gardi Hospital and RD Blood Bank","Madhya Pradesh",UJJAIN,Ujjain,"Gardi Medical College Sursa
",456006,"0736 8261305",9630625611,,"07368 261235",rdgmc_@sancharnet.in,http://www.rdgmc.com
1266,"District Hospital Blood Bank","Madhya Pradesh",UMARIA,Umaria,"District Hospital",484661,"07653 222314",9827079695,,,bloodbankumr@gmail.com,
1267,"District Hospital Blood Bank","Madhya Pradesh",VIDISHA,Vidisha,"District Hospital",466001,"07592 237825",9926472551,,,,
1268,"Civil Surgeon General Hospital Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"District Government Hospital Tarakpur Savedi Road, Ahmednagar",414001,"0241 2430127 (Office)",9552898779,,"0241 2430127",bloodbankcha37@gmail.com,
1269,"Sanjeevani Blood Bank Kopargaon",Maharashtra,AHMEDNAGAR,Ahmednagar,"110, 2/B Nishigandh, Vivekanand Nagar, Near  S.G. Vidyalay, Kopargaon
",423601,"02423 222237, 02423 224885, 02423 223117",7588567384,,,,
1270,"Rotary Blood Bank - Rahuri Charitable Trust",Maharashtra,AHMEDNAGAR,Ahmednagar,"Acharya Anand Rushiji Bhavan, Near Water Tank, Nagar Manmad Road,  A/P Rahuri, Ahmednagar District
",413705,"02426 232975",9421329802,,,,
1271,"Arpan Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"First Floor, H.No.1542/43, Above Bank of Badoda, Swatantrya Chowk, Sangamner,  Ahmednagar District
",422605,"02425 226036, 02425 220457",9822324340,,,nandkishor@arpanbloodbank.org,http://www.arpanbloodbank.org
1272,"Jankalyan Blood Bank Nalegaon",Maharashtra,AHMEDNAGAR,Ahmednagar,"Gadgil Patangan, Nalegaon, Ahmednagar

",414001,"0241 2346647, 0241 2329827",9028088589,,"0241 2325661",jankalyanbloodbanknagar@rediffmail.com,
1273,"Pravara Medical Trust Blood Bank - Pravara Rural Hospital and Medical Dental College Loni (BK)",Maharashtra,AHMEDNAGAR,Ahmednagar,"Pravara Rural Hospital & Medical Dental College Loni (BK) TQ. Rahata, Ahmednagar ",413736,"02422 271201, 02422 271528, 02422 2733413 ",9823206964,,"02422 273413",,http://www.pravara.com
1274,"Jondhale&#39;s Nitya Seva Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"R.C.Complex, Mamlatdar Kacheri Road, Shrirampur,                  Ahmednagar
",413709,"02422 225000",8888008686,,,jnbb.orj@gmail.com,
1275,"Shri Sainath Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"Opposite to Bus Stand,  Shri Saibaba Sansthan, Shirdi Tal - Rahata
",423109,"02423 258525 ",9822596036,,"02423 258676",,
1276,"Padmashri Dr. Vithalrao Vikhe Patil Foundation, Ahmednagar Medical College Hospital Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"Opposite to Government Milk Dairy, Vadgaon Gupta  M.I.D.C., Ahmednagar ",414111,"0241 2778042 (Exte-449)",9881573633,,,,http://www.bdvvfsmc.com
1277,"Shrirampur Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,Shrirampur,413709,"02422 224293, 02422 210600        ",9850547747,,,,
1278,"Anand Rushiji Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"Survey No.16/1, Plot No.2 Behind Anadrushiji Hospital Burudgaon Road,
",414001,"0241 2320472, 0241 2320473, 0241 2320474",9049673565,,"0241 2359085, 0241 2353055",,
1279,"Jeevanraj Charitable Foundation,s Ahmednagar Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"F.P. No. - 17, 2nd Floor, Ahmednagar Zillha Krishi Audyogik Sarva Seva Sahakari Sanstha Maryadit, Market Yard, Ahmednagar
",414001,"0241 2450099",9225570262,,,,
1280,"Nandkishor Education Society - Arpan Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"2nd  Floor, Sahakar Kranti Building, Market Yard, Nagar - Pune Road 
",414001,"0241 2451700, 0241 2451800",9822324340,,,"nandkishor@arpanbloodbank.org,",
1281,"Poonam Janjagruti Sanstha Sanchit, Ashtavinayak Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"Ashtavinayak Blood Bank, Ahmednagar  1st Floor, Sai Palace Opposite  to Akashwani Kendra, Near Professsor Coloney Chowk, Ahmednagar
",414003,"0241 2421334 ",0,,,ashtavinayakbloodbank@gmail.com,
1282,"Ahmednagar Municipal Council Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,Ahmednagar,0,,0,,,,
1283,"Civil Surgeon General Hospital Blood Bank",Maharashtra,AKOLA,Akola,"District General Hospital Compound, Z.P. Road, Akola
",444001,"0724 2434401",9767111950,,"0724 2437078",bloodbankgmcakola@gmail.com,
1284,"District Hospital for Women Blood Bank",Maharashtra,AKOLA,Akola,"Plot No.2, OPD Building, District Hospital for Women, Near Durga Chowk, Akola-444005
",444001,"0724 2433398, 0724 2433778 ",9422862490,,"0724 2457073",dhw_akola@rediffmail.com,
1285,"Dr. Vivek Pimpalkar Blood Bank",Maharashtra,AKOLA,Akola,"Najul Shit No. 408, Plot No-9/7, Krishna Kripa Building,  M.G.Road, Akola
",444101,"0724 2438271 ",9423848910,,,,
1286,"Shriram Blood Bank",Maharashtra,AKOLA,Akola,"T. K. Chambers, Ratanlal Plot, Akola ",444005,"0724 2433175, 0724 2432175",9823071925,,"0724 2434858",,
1287,"Akola Diagnostic Centre Blood Bank and Component Lab",Maharashtra,AKOLA,Akola,"Shivshirsh, Opposite to Gajanan Hospital, Ramnagar, Akola
",444001,"0724 2458777",9823048379,,,akoladiagnostic@rediffmail.com,
1288,"Dr. Mankar Memorial Blood Bank",Maharashtra,AKOLA,Akola,"Mankar Hospital, 2nd Floor, Dr. Mankar Smruti Building, Aastha Hospital, Opposite to Khandelwal CT-Scan Centre, Amanakha Plot,  Civil Line, Akola",444001,"0724 2457530 ",9823243771,,,,
1289,"Dr. Hedgewar Blood Bank",Maharashtra,AKOLA,Akola,"Balaji Plot  SBI Colony No - 1,  Near Jathat Peth,  No.1 Akola
",444005,"0724 2491264, 0724 2491265, 0724 2491266",9422862482,,"0724 2491264",,
1290,"ICON Blood Bank - Ganediwal Charitable Trust",Maharashtra,AKOLA,Akola,"Ganediwal Charitable Trust, ICON Blood Bank, ICON Hospital, Kedia Plot, Akola",444,"0724 2411263",0,,,iconakola@rediffmail.com,
1291,"Sai Jeewan Blood Bank",Maharashtra,AKOLA,Akola,"Shri Balyogi Shikshan Prasarak Mandal Charitable Trust, Akola",0,,0,,,,
1292,"District General Hospital Blood Bank Amravati",Maharashtra,AMRAVATI,Amravati,"Dr. Babasaheb Ambedkar Chowk, District General Hospital Blood Bank, Amaravati",444601,"0721 2663337, 0721 2663339, 0721 2663338",7385331819,,"0721 2663337",cs_amravati@rediffmail.com,
1293,"Shri Balaji Blood Bank & component lab Amravati",Maharashtra,AMRAVATI,Amravati,"1st Floor, Alsi Complex, Ambapeth, Amravati
",444601,"0721 2671600 ",9422155201,,,"drckdara@yahoo.com,",
1294,"Dr. P.D.M.H.C. Hospital and Research Centre Blood Bank",Maharashtra,AMRAVATI,Amravati,"Block-A,1st Floor, Shivaji Nagar, Amravati 
",440603,"0721 2665545",9766325831,,"0721 2661742",sandippatil@gmail.com,
1295,"Sant Gadgebaba Blood Bank and Component Centre Badnera",Maharashtra,AMRAVATI,Amravati,"Opposite to Shrihari Hospital, Juni Vasti (Old Town), Badnera  Amravati
",444701,"0721 2580490, 0721 2580455              ",9422915633,,"0721 2580490",sopanblood@gmail.com,
1296,"Dr. Late Sadanadaji Burma Memorial Blood Bank",Maharashtra,AMRAVATI,Amravati,"Plot No- 53, Sheet No-20c, Gvalipura,  Sadar Bazar, Paratwada, Amravati
",444805,8484010184,9403621600,,,rsburma@yahoo.co.in,
1297,"Regional Blood Bank Government Medical College and Hospital",Maharashtra,AURANGABAD,Aurangabad,"Regional Blood Bank Government Medical College and Hospital, Aurangabad, (GHATI)",431001,"0240 2402108, 0240 2402418",9890281663,,,bbgmchabad@gmail.com,
1298,"Mahatma Gandhi Mishan (MGM) Hospital Blood Bank",Maharashtra,AURANGABAD,Aurangabad,"Mahatma Gandhi Mishan Medical College & Hospital Blood Bank, N-6, Town Center,  CIDCO,  Aurangabad ",431003,"0240 6601100, 0240 6601167",9371012383,,"0240 2484445",drcpbhale@rediffmail.com,
1299,"Dattaji Bhale Blood Bank - Hedgewar Hospital",Maharashtra,AURANGABAD,Aurangabad,"C/o. Dr. Hegdewar Rugnalaya Campus, Near Gajanan Mandir, Jawahar Colony Road, Garkheda Parisar,  Aurangabad
",431005,"0240 2335196, 0240 2331195, 0240 2352371",9822435509,,"0240 2341849",mahendrasingh-chauhan@hedgewar.org,http://www.dattajibhalebloodbank.org/
1300,"Lokmanya Blood Bank",Maharashtra,AURANGABAD,Aurangabad,"Gopinath Chember,  Basement Floor, Behind Jaydev Travels, Adalat Road,  Aurangabad ",431005,"0240 6602163, 0240 2328362 ",9370527120,,"0240 2328362",adm.lokmanya@gmail.com,
1301,"Seth Nandlal Dhoot Hospital Blood Bank",Maharashtra,AURANGABAD,Aurangabad,"Plot No A-1, MIDC Chikalthana, Jalna Road, Aurangabad
",431210,"0240 2489001 - 10",9225334164,,"0240 2485331"," bloodbank@dhoothospital.com",
1302,"Arpan Voluntary (Marathwada)  Blood Bank",Maharashtra,AURANGABAD,Aurangabad,"2nd Floor, Soniya Chambers, Near Uddhanpula, Seven Hills, Jalna Road, Aurangabad
",431001,"0240 2345359, 0240 6604204",9860078075,,,nandkishor@arpanbloodbank.org,
1303,"Amruta Blood Bank",Maharashtra,AURANGABAD,Aurangabad,"Shop No- 102/103, 1st Floor ,Nano Comlex Near Shanoormiya Arga, Vegetable Arket, Shahnoorwadi, Aurangabad
",431001,"0240 2060145 ",8087527390,,"0240 2351145",amrutabloodbank@gmail.com,
1304,"Aurangabad Blood Bank",Maharashtra,AURANGABAD,Aurangabad,"Opposite to Sparsh Hospital, Jawahar Nagar Akashwani Aurangabad
",431001,"0240 6002002, 0240 2330400",9922650892,,,aurangabadbloodbank@gmail.com,
1305,"Lions Blood Bank",Maharashtra,AURANGABAD,Aurangabad,"1st Floor, above Lions  Balsadan, Near Teg Bahadur English School, Osmanpura, Aurangabad ",431005,"0240 2340250, 2337255",8275092594,,,lionsbloodbank0708@gmail.com,
1306,"Civil Surgeon General Hospital Blood Bank",Maharashtra,BEED,Beed,"Civil Surgeon District General Hospital, Barshi Road, Beed  ",431122,"02442 220609",9822541028,,"02442 222618 ",bloodbankbeed@rediffmail.com,
1307,"Swami Ramanand Tirth Arben Medical College Hospital Blood Bank",Maharashtra,BEED,Beed,"Swami Ramanand Tirth Arben Medical College Hospital Ambajogai Tq. Ambajogai,  Beed",431517,"02446 244472 ",9422467018,,"02446 247132 (Dean office)",srtrgmcbb@gmail.com,
1308,"Vaidynath Blood Bank",Maharashtra,BEED,Beed,"Mundhe Children Hospital, Near Dube Petrol Pump, Jai Nagar, Parli-Vaijnath, Beed",431515,"02446 223584",9422242419,9673771797,,,
1309,"Navjivan Blood Bank",Maharashtra,BEED,Beed,"Plot No 2-10-240 1 st Floor, Jalna Road, Opposite to M.S.E.B. Office, Beed ",431122,"02442 233423, 02442 232434, 02442 223975",9890297246,,,,
1310,"Arpan Blood Bank Beed",Maharashtra,BEED,Beed,"3rd Floor, Thorat Multispeciality Hospital, D.P. Road, Anand Nagar, Ambejogai, Dist - Beed,
",431517,"02446 245002           ",9421352152,,,nandkishor@arpanbloodbank.org,
1311,"Civil Hospital Bhandara Blood Bank",Maharashtra,BHANDARA,Bhandara,"General Hospital Blood Bank, Bhandara
",441904,"07184 252247(Hospital), 07184 250725(Blood Bank)",9422809711,,"07184 255151",bloodbank_bhandara@rediffmail.com,
1312,"Jeevandhara Buldana Urban Blood Bank",Maharashtra,BULDHANA,Buldana,"1st Floor, DSD City Mall, Above Bank of India, Tehsil to Stadium Road, Buldhana 
",443001,9657221122,9922527555,,,maheshbhakkad@gmail.com,
1313,"Government Hospital Blood Bank",Maharashtra,BULDHANA,Buldhana,"General Hospital Shegaon Road, Khamgaon, Buldhana",444303,"07263 255332, 07263 254571",9822782898,,"07263 255332","ghkbb134@gmail.com, ms_ghkhamgaon@rediffmail.com",
1314,"Saibai Mote General Hospital Blood Bank",Maharashtra,BULDHANA,Buldhana,"Saibai Mote General Hospital, Shegaon, Buldhana",444203,"07265 252020",9764550722,,"07265 252866",,
1315,"Civil Surgeon District General Hospital Blood Bank",Maharashtra,BULDHANA,Buldhana,"General Hospital Blood Bank Buldhana, Near Prabadhan School, Bhonde Sarakar Chauk Bhuldhana(M.S)",443001,"07262 242423 (Extn.234)",9423452824,,"07262 242423",cs_buldhana@rediffmail.com,
1316,"Dr. Murlidhar Kharche Memorial Jeevan Jyoti Blood Bank",Maharashtra,BULDHANA,Buldhana,"Bharat Kala Road, Malkapur, Buldhana ",443101,"07267 26700",9423144276,,"07267 224943",jkpatho@gmail.com,
1317,"Lilavati Blood Bank",Maharashtra,BULDHANA,Buldhana,"John Lay Out, Jamrnn Road, Near Bus stand, Buldhana",443001,"07262 243811",9422180490,,,,
1318,"Shri. Brahman Swrankar Samaj Trust Blood Bank",Maharashtra,BULDHANA,Khamgaon,"Farshi, Main Road, Khamgaon, Buldhana",444303,"07263 255577",9422883786,,"07263 259334",,
1319,"General Hospital Blood Bank",Maharashtra,CHANDRAPUR,Chandrapur,"Government General Hospital Blood Bank, Near Chota Bazar, Main Road, Mahatma Gandhi Marg, Chandrapur",442402,"07172 252103, 07172 253992",7620048023,,,bbchandrapur@gmail.com,
1320,"Ankur Hospital Blood Bank",Maharashtra,CHANDRAPUR,Chandrapur,"Balaji Ward, Chandrapur",442402,"07172 251522, 07172 255522, 07172 264522",9422135495,,,ankurhospital@rediffmail.com,
1321,"Dr. Ninawe Blood Bank",Maharashtra,CHANDRAPUR,Chandrapur,"Niwane Hospital, Near Benglur Bakery, Kasturba Road, Chandrapur",442402,"07172 254884, 07172 254994      ",9422138720,"07083403399, 07083503399",,,
1322,"Christanand Education Society Blood Bank",Maharashtra,CHANDRAPUR,Chandrapur,"Christanand Education Society Blood Bank,  Christanand Hospital, Gujri Ward No.2, Brahmapuri",441206,"07177 272016, 07177 271109",9881804284,,,christanandhosp@gmail.com,
1323,"Shahada Blood Bank (Whole Human Blood)",Maharashtra,DHULE,,Shahada,0,"02565 223446",9371855918,,,,
1324,"Shri Bhausaheb Hire Government Medical College and Hospital Blood Bank",Maharashtra,DHULE,Dhule,"Civil Hospital Compound, Sakri Road Dhule",424001,"02562 288833",9422780176,,,bloodbankdhule@gmail.com,
1325,"Navjeevan Medical Relief & Research Society&#39;s Shree Navjeevan Blood Bank and Component Laboratary",Maharashtra,DHULE,Dhule,"Plot No. 39, S. No. 579/3+5, Sushil Nagar Behind Vaibhav Nagar, Dhule.(424001)(M.S.)",424001,"02562 245662, 02562 246289, 02562 244662",9881171637,"02562 244662","02562 245662",navjeevan.dhule@gmail.com,http://www.shreenavjeevanbloodbankdhule.com
1326,"Jawahar Medical Foundation Blood Bank",Maharashtra,DHULE,Dhule,"Hutatma Shririshkumar Nagar, Opposite to Jawahar Suthgirani, Morane, Sakri Road, Dhule",424001,"02562 276317, 02562 277298",9922553307,,,acpm@rediffmail.com,
1327,"Jeevan Jyoti Blood Bank",Maharashtra,DHULE,Dhule,"3252 Agra Road, Near Prabhakar Theater",424001,"02562 232807",9422562094,,,bb_jyoti@yahoo.com,
1328,"Nirnay Janseva Blood Bank",Maharashtra,DHULE,Dhule,"Fulwala Chowk, (C.S.No.1415/A/1/A) Lane No. 4  Dr. Odhekar Building, Agra Road",424001,"02562 238262",9730733888,,,nirnayjansevabloodbank@gmail.com,
1329,"Arpan Blood Bank",Maharashtra,DHULE,Dhule,"Atul Medical and Rehabilitation Society, Arpan Blood Bank,  Jain Oswal Boarding, Ganpati Road, Near Santoshi Mata Mandir, Dhule, Nashik ",424001,"02562 229163, 02562 229164, 02562 229165 ",9881907646,,,,
1330," Late  Shri Mukeshbai Patel Blood Bank ",Maharashtra,DHULE,Dhule,"Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha, Late  Shri Mukeshbai Patel Blood Bank, 1st Floor, Agrasen  Patpedhi, Maharaja Complex  Shirpur, Dhule ",424001,"09823142895, 08421756756",8180062242,,," bb_shirpur@yahoo.com",
1331,"Sub-District Rural Hospital Blood Bank",Maharashtra,GADCHIROLI,Gadchiroli,"Aheri, At Post and Tal., Aheri, Gadchiroli",442705,"07133 272072",9421925298,,,ms.sdhaheri@gmail.com,
1332,"Civil Surgeon - General Hospital Blood Bank",Maharashtra,GADCHIROLI,Gadchiroli,"Gadchiroli, General Hospital Blood Bank, Gadchiroli",442605,"07132 222056, 07132 222644",9421925298,,,bloodbankgadchiroli@gmail.com,
1333,"Bai Gangabai Ladies Hospital Blood Bank",Maharashtra,GONDIA,Gondia,"Gondia, Bai Gangabai Ladies Hospital Blood Bank, Civil Lines,  Gondia",441601,"07182 232606",7721039074,,,msbgwhgondia@gmail.com,
1334,"Civil Surgeon - District General Hospital Blood Bank",Maharashtra,HINGOLI,Hingoli,"Akola Road Risala Bazar, Hingoli",431513,"02456 224118",9422295417,,,Bloodbankhingoli@gmail.com,
1335,"Civil Hospital Blood Bank",Maharashtra,JALGAON,Jalgaon,"Civil Hospital Blood Bank, Dixit Wadi, Zilha Peth, Jalgaon",425001,"0257 2226642, 0257 2252145",9766148307,,,,
1336,"Madhavrao Golwalkar Swayamsevi Blood Bank",Maharashtra,JALGAON,Jalgaon,"11-255-J-JMP Market, Chitra Chowk, Near Kombadi Bazar, Jalgaon",425001,"0257 2234590, 0257 2261979",9421038123,,,,
1337,"Jeevan Surabhi Blood Bank",Maharashtra,JALGAON,Jalgaon,"Kargaon Road, Laxmi nagar,  Chalisgaon, Jalgaon",424101,"02589 223833",9823232307,,,jsbb@live.in,
1338,"Jeevanshri Raktapedi",Maharashtra,JALGAON,Jalgaon,"Ist Floor, Rasmanju Complex, Bhagwat Road, Amalner ",425401,,9226894187,,,,
1339,"Dhanwantri Blood Bank",Maharashtra,JALGAON,Jalgaon,"H. No. 5/464/1, T. P. Scheme, No-1, Survey No 124/1/3A Plot No. 777/3, Jamner Road, Rangoli Hotel, Jawal Anand Nagar Bhusawal, Jalgaon ",425201,"02582 243243",9326728048,,,bloodbank308@yahoo.com,
1340,"Godavari Foundation Blood Bank",Maharashtra,JALGAON,Jalgaon,"Hospital Building, 2nd Floor, Gate No. 315/316/321/305 Jalgaon - Bhsawal Road, N.H. No. 6,  Jalgaon (kh) ",425309,"0257 3058539, 0257 3058526",9822771478,,,,
1341,"Indian Red Cross Society Blood Bank",Maharashtra,JALGAON,Jalgaon,"Near Civil Hospital, Athwadi Bazar, Opposite to B.J.Market, Jalgaon",425001,"0257 2226233, 0257 2236255, 0257 2235855",9422296753,,,ircs_jal@yahoo.in,
1342,"M/s. Jalgaon Blood Bank and Component",Maharashtra,JALGAON,Jalgaon,"Near Mahesh Pragati Bhavan, Ring Road, Jalgaon",425002,"0257 2222278",9156313025,,,jalgaon.bb@gmail.com,
1343,"Askaran Tarachand Jain Blood Bank",Maharashtra,JALGAON,Jalgaon,"Jawahar Market, First Floor, Near Police Station Chopda, Jalgaon",425107,"02586 221019, 02586 220457, 02586 220468",9423188110,,,,
1344,"Civil Surgeon General Hospital Blood Bank",Maharashtra,JALNA,Jalna,"Balod Bank Survey No-488, Infront of Collector Office, Civil Hospital, Jalna  ",431203,"02482 224381, 02482 224393",9422219635,,,,
1345,"Jankalyan Blood Bank",Maharashtra,JALNA,Jalna,"Wing No. 03, S. No. 224, Shri Chatrapati Shivaji Maharaj Bazar Sankul, Old Cotton Market Yard",431203,"02482 238397, 02482 243085, 02482 232407",9822215625,,,jalnajankalyan@gmail.com,
1346,"Noor Hospital Blood Bank",Maharashtra,JALNA,Jalna,"Aurangabad - Jalna Road, Warudi, Tq- Badnapur, Jalna",431202,"02482 222515",9960336003,,,"iimsk11@gmail.com, iimsr11@gmail.",
1347,"Rajashri Chatrapati Shahu Maharaj Government Medical College and Chatrapati Pramilaraje General Hospital Blood Bank",Maharashtra,KOLHAPUR,Kolhapur,"Dasara Chowk, Somwar Peth, C. P. R. Hospital Compound, Kolhapur
",416001,"0231 2644337",9175823219,,"0231 2645283",rcsmgmc.cprbloodbank@gmail.com,
1348,"Late Balasaheb Datye - Lions Blood Bank",Maharashtra,KOLHAPUR,Kolhapur,"5/468, Datye Mala, Lions Park,  Ichalkaranji, Tal-Hatkanangale, Kolhapur
",416115,"0230 2436130",9860858918,,"0230 2431022             ",lbbank89@gmail.com,
1349,"Rajarshi Shahu Blood Bank",Maharashtra,KOLHAPUR,Kolhapur,"Rotary Samaj Seva Centre, 253, K.E.Assembly Road, Kolhapur
",416002,"0231 2651640 ",9923138264,,"0231 2667540  ",rsbbkop@gmail.com,
1350,"Mahatma Gandhi Hospital Blood Bank",Maharashtra,KOLHAPUR,Kolhapur,"At Post - New Pargaon, TQ-Hatkanangale, Kolhapur",416137,"0230 2477081, 0230 2477082, 0230 2477083,  0230 2477308, 0230 2477309  ",9823427765,,"0230 2477081, 0230 2477082, 0230 2477083",mghbbnewpargaon@gmail.com,
1351,"Annasaheb Galatge Lions Blood Bank",Maharashtra,KOLHAPUR,Kolhapur,"Doctor&#39;s Colony, Gadhinglaj, Kolhapur",416502,"02327 223100, 02327 226355",9970222605,,"02327 223100 ",annasahebg@gmail.com,
